days,Random,Random ,Random  ,Random   ,Textbook,Textbook ,Textbook  ,Textbook   ,Sadist Teacher,Sadist Teacher ,Sadist Teacher  ,Sadist Teacher   ,Knowledge Tracing,Knowledge Tracing ,Knowledge Tracing  ,Knowledge Tracing   
0,0.311600016,0.576013754,,0.860567269,0.319276187,0.569831865,,0.86501262,0.343624366,0.578259448,,0.860710654,0.339320611,0.576020646,,0.855335811
5,0.437786708,0.612204459,,0.869209803,0.532599554,0.564180434,,0.863709437,0.364280008,0.566432244,,0.866351509,0.567584264,0.614119755,,0.862618654
10,0.492899983,0.616135547,,0.861320699,0.610854662,0.583448181,,0.86920991,0.354985597,0.560873582,,0.867645221,0.669039793,0.652532538,,0.871249793
15,0.510191552,0.624389342,,0.871473292,0.6217786,0.598644196,,0.868153559,0.338314479,0.562541391,,0.87036035,0.7028095,0.682135482,,0.873055554
20,0.520420034,0.646469855,,0.881312874,0.635361897,0.607420594,,0.874798442,0.341964386,0.55150265,,0.875994286,0.706890689,0.698433727,,0.877478118
25,0.522857217,0.65341856,,0.876102954,0.637550321,0.609819065,,0.870856973,0.332870631,0.544210741,,0.881029671,0.718169461,0.711546421,,0.876093009
30,0.536094782,0.657905905,,0.879228487,0.679917628,0.607016978,,0.881118374,0.328797376,0.543601917,,0.876955184,0.722792789,0.715319965,,0.881082747
35,0.539907866,0.663598503,,0.881396085,0.693313854,0.618814614,,0.88094795,0.331212514,0.550923173,,0.88003459,0.726663831,0.730588891,,0.88086189
40,0.538287742,0.674832713,,0.88277036,0.703514904,0.631786144,,0.88201394,0.332024136,0.528414221,,0.880531432,0.730732317,0.752278017,,0.880596706
45,0.542735114,0.693383181,,0.878571395,0.703993726,0.639940886,,0.878862749,0.328718053,0.529202718,,0.882556653,0.72846155,0.750251133,,0.885704252
50,0.549449489,0.692605559,,0.882144784,0.705176534,0.652366452,,0.883152092,0.318516206,0.521908668,,0.880760102,0.730828865,0.763893739,,0.883769384
55,0.56148099,0.706471673,,0.877176344,0.709399772,0.664112577,,0.883556044,0.324591958,0.523192393,,0.880101074,0.730908412,0.778610755,,0.881932189
60,0.55651199,0.702608865,,0.884035559,0.708109488,0.665249399,,0.88503987,0.321890777,0.516676512,,0.884710602,0.733313801,0.789131001,,0.880161825
65,0.560743378,0.705254391,,0.883547534,0.713303671,0.658081132,,0.88170413,0.310409238,0.507218692,,0.885011779,0.731250266,0.794891107,,0.885143157
70,0.559100103,0.714626705,,0.880164562,0.716330763,0.673858291,,0.885303867,0.312366844,0.504231291,,0.885802448,0.729853917,0.79995598,,0.883832384
75,0.55660219,0.719046154,,0.883142225,0.709962709,0.675016824,,0.884130903,0.316984114,0.514126441,,0.885207771,0.727836393,0.811304346,,0.884458385
80,0.563226459,0.723465865,,0.881298417,0.708582837,0.665397658,,0.882767899,0.311661141,0.490740353,,0.883043381,0.72522384,0.813220697,,0.882635745
85,0.565315827,0.731497425,,0.882247112,0.710306663,0.673136184,,0.883193087,0.311714426,0.493102698,,0.885907912,0.73257422,0.814954549,,0.889043436
90,0.564062743,0.742352621,,0.884724259,0.708152775,0.678327422,,0.883317461,0.31282955,0.484795251,,0.886107054,0.724343623,0.831480127,,0.885893125
95,0.565719111,0.741334562,,0.883642444,0.704821392,0.681744281,,0.885483256,0.302892239,0.488815655,,0.884646879,0.726704211,0.828748881,,0.881315728
100,0.564938815,0.741667723,,0.882324453,0.70588017,0.689603709,,0.886015871,0.299685931,0.488216783,,0.883510247,0.725611334,0.831959135,,0.885528813
